REF_CLOSING_DESCRIPTION,ENTITY_DESCRIPTION_SHORT,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE
,PortAventura World,PARK,2020-02-05 10:00:00.000,2020-02-05 19:00:00.000,2020-02-06 08:09:23.000,2020-02-05
,Free Fall,ATTR,2020-01-04 08:11:00.000,2020-01-04 18:15:00.000,2020-01-05 07:52:42.000,2020-01-04
,Tivoli Gardens,PARK,2018-05-04 08:30:00.000,2018-05-04 09:30:00.000,2018-05-05 11:16:52.000,2018-05-04
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-06-24 23:59:00.000,2018-06-24 23:59:00.000,2018-06-25 08:03:37.000,2018-06-24
,Giga Coaster,ATTR,2019-04-08 09:25:00.000,2019-04-08 21:00:00.000,2019-04-09 07:45:24.000,2019-04-08
,Tivoli Gardens,PARK,2020-01-29 08:30:00.000,2020-01-29 09:30:00.000,2020-02-03 15:22:24.000,2020-01-29
,Inverted Coaster,ATTR,2018-09-15 09:55:00.000,2018-09-15 18:20:00.000,2018-09-16 08:38:49.000,2018-09-15
,Himalaya Ride,ATTR,2018-06-05 10:00:00.000,2018-06-05 23:00:00.000,2018-06-06 07:27:32.000,2018-06-05
,Water Ride,ATTR,2019-05-02 08:30:00.000,2019-05-02 21:14:00.000,2019-06-05 09:12:18.000,2019-05-02
,Spinning Coaster,ATTR,2018-10-27 08:30:00.000,2018-10-27 22:13:00.000,2018-10-28 08:12:43.000,2018-10-27
,Aeroplane Ride,ATTR,2019-04-25 08:30:00.000,2019-04-25 20:18:00.000,2019-04-26 08:41:04.000,2019-04-25
,Swing Ride,ATTR,2019-08-28 08:30:00.000,2019-08-28 22:23:00.000,2019-08-29 09:03:50.000,2019-08-28
,Swing Ride,ATTR,2018-10-25 08:30:00.000,2018-10-25 21:23:00.000,2018-10-26 08:46:17.000,2018-10-25
,Skyway,ATTR,2022-07-16 08:23:00.000,2022-07-16 20:06:00.000,2022-07-17 07:45:24.000,2022-07-16
,Swing Ride,ATTR,2020-01-02 08:00:00.000,2020-01-02 22:00:00.000,2020-01-03 08:01:05.000,2020-01-02
Fermeture Réhab,Top Spin,ATTR,2019-08-28 23:59:00.000,2019-08-28 23:59:00.000,2019-08-29 09:04:03.000,2019-08-28
,Log Flume,ATTR,2018-03-10 09:55:00.000,2018-03-10 22:00:00.000,2018-03-11 08:59:15.000,2018-03-10
,Aeroplane Ride,ATTR,2018-03-18 08:43:00.000,2018-03-18 20:08:00.000,2018-03-19 09:06:31.000,2018-03-18
Fermeture Réhab,Bungee Jump,ATTR,2018-10-10 23:59:00.000,2018-10-10 23:59:00.000,2018-10-11 08:45:11.000,2018-10-10
,Spinning Coaster,ATTR,2019-11-21 09:13:00.000,2019-11-21 19:14:00.000,2019-11-22 08:02:14.000,2019-11-21
,Rapids Ride,ATTR,2018-05-20 10:00:00.000,2018-05-20 20:14:00.000,2018-05-21 07:44:13.000,2018-05-20
,PortAventura World,PARK,2019-02-16 08:30:00.000,2019-02-16 09:30:00.000,2019-02-17 09:22:24.000,2019-02-16
,Bungee Jump,ATTR,2022-05-01 09:27:00.000,2022-05-01 23:00:00.000,2022-05-02 10:51:13.000,2022-05-01
,Scooby Doo,ATTR,2018-10-13 08:30:00.000,2018-10-13 23:39:00.000,2018-10-14 08:37:12.000,2018-10-13
,Crazy Bus,ATTR,2022-04-15 08:30:00.000,2022-04-15 20:28:00.000,2022-04-16 08:08:11.000,2022-04-15
,Rapids Ride,ATTR,2018-06-14 10:00:00.000,2018-06-14 20:13:00.000,2018-06-15 08:44:24.000,2018-06-14
,Crazy Bus,ATTR,2019-07-23 08:30:00.000,2019-07-23 20:26:00.000,2019-07-24 09:15:28.000,2019-07-23
,Rapids Ride,ATTR,2019-09-11 09:38:00.000,2019-09-11 20:08:00.000,2019-09-12 09:09:03.000,2019-09-11
,Skyway,ATTR,2019-08-05 09:09:00.000,2019-08-05 20:19:00.000,2019-08-06 07:40:35.000,2019-08-05
,Scooby Doo,ATTR,2018-03-25 08:30:00.000,2018-03-25 21:11:00.000,2018-03-26 07:45:28.000,2018-03-25
,Monorail,ATTR,2018-11-19 08:30:00.000,2018-11-19 18:34:00.000,2018-11-20 08:24:28.000,2018-11-19
Fermeture Opérationnelle,Top Spin,ATTR,2022-08-11 23:59:00.000,2022-08-11 23:59:00.000,2022-08-12 10:08:16.000,2022-08-11
,Skyway,ATTR,2019-05-24 08:24:00.000,2019-05-24 19:09:00.000,2019-05-25 07:36:44.000,2019-05-24
,Spinning Coaster,ATTR,2018-07-06 10:00:00.000,2018-07-06 23:09:00.000,2018-07-07 09:11:32.000,2018-07-06
Fermeture Réhab,Monorail,ATTR,2019-02-05 23:59:00.000,2019-02-05 23:59:00.000,2019-02-06 08:37:12.000,2019-02-05
,Free Fall,ATTR,2019-10-10 10:00:00.000,2019-10-10 18:03:00.000,2019-10-11 08:12:49.000,2019-10-10
,PortAventura World,PARK,2019-06-07 10:00:00.000,2019-06-07 23:00:00.000,2019-06-08 07:47:29.000,2019-06-07
,Spiral Slide,ATTR,2019-03-29 08:30:00.000,2019-03-29 18:29:00.000,2019-03-30 07:45:58.000,2019-03-29
,Scooby Doo,ATTR,2018-02-14 08:30:00.000,2018-02-14 20:11:00.000,2018-02-15 09:19:26.000,2018-02-14
,Superman Ride,ATTR,2018-10-05 09:38:00.000,2018-10-05 17:00:00.000,2018-10-06 08:48:59.000,2018-10-05
,Reverse Bungee,ATTR,2022-07-08 08:30:00.000,2022-07-08 20:13:00.000,2022-07-09 07:56:50.000,2022-07-08
,Free Fall,ATTR,2018-01-19 10:00:00.000,2018-01-19 18:00:00.000,2018-01-20 09:00:13.000,2018-01-19
,Power Tower,ATTR,2019-12-02 08:22:00.000,2019-12-02 18:07:00.000,2019-12-03 08:02:21.000,2019-12-02
,Drop Tower,ATTR,2018-10-06 08:30:00.000,2018-10-06 21:00:00.000,2018-10-07 08:23:15.000,2018-10-06
,Merry Go Round,ATTR,2022-08-07 08:30:00.000,2022-08-07 23:11:00.000,2022-08-08 07:39:43.000,2022-08-07
Fermeture Réhab,Bumper Cars,ATTR,2018-07-19 23:59:00.000,2018-07-19 23:59:00.000,2018-07-20 08:01:38.000,2018-07-19
Fermeture Réhab,Top Spin,ATTR,2020-01-19 23:59:00.000,2020-01-19 23:59:00.000,2020-01-20 07:43:14.000,2020-01-19
,Giant Wheel,ATTR,2018-08-18 09:51:00.000,2018-08-18 23:19:00.000,2018-08-19 08:46:38.000,2018-08-18
,Reverse Bungee,ATTR,2019-12-30 08:00:00.000,2019-12-30 20:00:00.000,2019-12-31 07:29:27.000,2019-12-30
,Flying Coaster,ATTR,2019-10-15 09:38:00.000,2019-10-15 20:07:00.000,2019-10-16 07:48:20.000,2019-10-15
,Flying Coaster,ATTR,2022-04-18 09:30:00.000,2022-04-18 23:11:00.000,2022-04-19 07:28:54.000,2022-04-18
,Roller Coaster,ATTR,2020-01-29 10:00:00.000,2020-01-29 18:04:00.000,2020-01-30 08:06:56.000,2020-01-29
,Drop Tower,ATTR,2019-10-26 08:30:00.000,2019-10-27 02:05:00.000,2019-10-27 08:26:22.000,2019-10-26
,Sling Shot,ATTR,2020-01-03 08:00:00.000,2020-01-03 20:06:00.000,2020-01-04 08:08:12.000,2020-01-03
,Water Ride,ATTR,2022-06-27 09:00:00.000,2022-06-27 22:00:00.000,2022-06-28 08:21:09.000,2022-06-27
,Crazy Bus,ATTR,2022-05-05 08:30:00.000,2022-05-05 20:16:00.000,2022-05-06 08:18:18.000,2022-05-05
,Bungee Jump,ATTR,2019-05-24 09:24:00.000,2019-05-24 23:00:00.000,2019-05-25 07:36:28.000,2019-05-24
,Crazy Bus,ATTR,2019-04-04 08:30:00.000,2019-04-04 19:22:00.000,2019-04-05 08:24:05.000,2019-04-04
,PortAventura World,PARK,2019-07-14 08:30:00.000,2019-07-14 09:30:00.000,2019-07-15 07:19:58.000,2019-07-14
,Drop Tower,ATTR,2019-09-21 08:59:00.000,2019-09-21 21:23:00.000,2019-09-22 07:21:36.000,2019-09-21
,Bungee Jump,ATTR,2018-05-02 09:30:00.000,2018-05-02 22:03:00.000,2018-05-03 09:06:12.000,2018-05-02
,Go-Karts,ATTR,2018-12-26 08:00:00.000,2018-12-26 22:04:00.000,2018-12-27 07:34:39.000,2018-12-26
,Free Fall,ATTR,2019-12-08 08:00:00.000,2019-12-08 18:17:00.000,2019-12-09 07:33:47.000,2019-12-08
,Free Fall,ATTR,2022-06-16 10:00:00.000,2022-06-16 18:08:00.000,2022-06-17 10:00:15.000,2022-06-16
,Free Fall,ATTR,2022-08-07 10:00:00.000,2022-08-07 18:21:00.000,2022-08-08 07:39:44.000,2022-08-07
,Reverse Bungee,ATTR,2018-12-02 08:05:00.000,2018-12-02 20:13:00.000,2018-12-03 07:48:07.000,2018-12-02
,Log Flume,ATTR,2018-07-15 08:30:00.000,2018-07-15 23:08:00.000,2018-07-16 07:29:47.000,2018-07-15
,Merry Go Round,ATTR,2022-06-25 08:30:00.000,2022-06-25 23:08:00.000,2022-06-26 08:23:31.000,2022-06-25
,Rapids Ride,ATTR,2019-03-24 10:00:00.000,2019-03-24 19:00:00.000,2019-03-25 07:42:48.000,2019-03-24
,Bungee Jump,ATTR,2019-01-01 09:21:00.000,2019-01-01 22:09:00.000,2019-01-02 09:08:41.000,2019-01-01
,Haunted House,ATTR,2019-08-09 08:59:00.000,2019-08-09 21:55:00.000,2019-08-10 07:53:18.000,2019-08-09
,Zipline,ATTR,2020-02-19 08:30:00.000,2020-02-19 20:18:00.000,2020-02-20 08:49:17.000,2020-02-19
,Inverted Coaster,ATTR,2018-01-07 09:50:00.000,2018-01-07 17:00:00.000,2018-01-08 09:14:02.000,2018-01-07
,Bungee Jump,ATTR,2022-07-30 09:30:00.000,2022-07-30 23:00:00.000,2022-07-31 07:46:37.000,2022-07-30
,Water Ride,ATTR,2020-01-07 08:54:00.000,2020-01-07 17:12:00.000,2020-01-08 07:28:04.000,2020-01-07
,Giant Wheel,ATTR,2022-04-14 08:28:00.000,2022-04-14 23:11:00.000,2022-04-15 07:56:46.000,2022-04-14
,Go-Karts,ATTR,2019-04-20 09:32:00.000,2019-04-20 22:00:00.000,2019-04-21 07:54:58.000,2019-04-20
,Zipline,ATTR,2019-09-08 08:18:00.000,2019-09-08 21:13:00.000,2019-09-09 07:58:59.000,2019-09-08
Fermeture Réhab,Pirate Ship,ATTR,2019-07-14 23:59:00.000,2019-07-14 23:59:00.000,2019-07-15 07:19:42.000,2019-07-14
,Sling Shot,ATTR,2018-02-12 08:33:00.000,2018-02-12 19:13:00.000,2018-02-13 08:31:41.000,2018-02-12
,Flying Coaster,ATTR,2022-08-06 09:28:00.000,2022-08-06 23:08:00.000,2022-08-07 07:20:24.000,2022-08-06
,Spinning Coaster,ATTR,2022-06-23 09:26:00.000,2022-06-23 23:04:00.000,2022-06-24 08:33:33.000,2022-06-23
Fermeture Réhab,Sling Shot,ATTR,2019-05-10 23:59:00.000,2019-05-10 23:59:00.000,2019-05-11 07:58:43.000,2019-05-10
,Water Ride,ATTR,2019-12-14 09:00:00.000,2019-12-14 21:14:00.000,2019-12-15 08:33:38.000,2019-12-14
,Tivoli Gardens,PARK,2019-01-10 10:00:00.000,2019-01-10 18:00:00.000,2019-01-11 07:49:14.000,2019-01-10
Fermeture Opérationnelle,Inverted Coaster,ATTR,2019-06-17 23:59:00.000,2019-06-17 23:59:00.000,2019-06-18 07:33:02.000,2019-06-17
,Bungee Jump,ATTR,2019-04-15 09:27:00.000,2019-04-15 22:02:00.000,2019-04-16 08:19:03.000,2019-04-15
,Gondola,ATTR,2022-04-24 09:18:00.000,2022-04-24 20:10:00.000,2022-04-25 08:19:12.000,2022-04-24
,Scooby Doo,ATTR,2020-02-11 08:30:00.000,2020-02-11 19:57:00.000,2020-02-12 10:20:18.000,2020-02-11
,Merry Go Round,ATTR,2019-06-08 09:12:00.000,2019-06-08 23:11:00.000,2019-06-09 07:42:31.000,2019-06-08
,Pirate Ship,ATTR,2018-05-11 09:51:00.000,2018-05-11 22:44:00.000,2018-05-12 08:56:06.000,2018-05-11
,Rapids Ride,ATTR,2018-07-11 10:00:00.000,2018-07-11 20:07:00.000,2018-07-12 08:52:02.000,2018-07-11
,Aeroplane Ride,ATTR,2019-06-18 08:30:00.000,2019-06-18 19:21:00.000,2019-06-19 08:11:29.000,2019-06-18
,PortAventura World,PARK,2019-03-04 10:00:00.000,2019-03-04 19:30:00.000,2019-03-05 07:48:17.000,2019-03-04
,Log Flume,ATTR,2022-05-15 08:30:00.000,2022-05-15 23:07:00.000,2022-05-16 07:56:15.000,2022-05-15
,Crazy Bus,ATTR,2018-09-02 09:21:00.000,2018-09-02 20:22:00.000,2018-09-03 08:18:14.000,2018-09-02
,Tivoli Gardens,PARK,2019-01-13 08:30:00.000,2019-01-13 09:30:00.000,2019-01-14 06:58:25.000,2019-01-13
,Water Ride,ATTR,2018-09-15 08:30:00.000,2018-09-15 21:06:00.000,2018-09-16 08:38:46.000,2018-09-15
,Pirate Ship,ATTR,2018-07-20 10:00:00.000,2018-07-20 23:18:00.000,2018-07-21 07:44:58.000,2018-07-20
,Superman Ride,ATTR,2019-05-02 08:30:00.000,2019-05-02 19:49:00.000,2019-06-05 09:12:20.000,2019-05-02
,Swing Ride,ATTR,2018-03-29 08:30:00.000,2018-03-29 20:21:00.000,2018-03-30 07:50:53.000,2018-03-29
Fermeture Réhab,Top Spin,ATTR,2019-07-15 23:59:00.000,2019-07-15 23:59:00.000,2019-07-16 07:42:07.000,2019-07-15
,Tivoli Gardens,PARK,2019-10-19 10:00:00.000,2019-10-19 20:00:00.000,2019-10-20 07:56:05.000,2019-10-19
,Scooby Doo,ATTR,2018-05-25 08:30:00.000,2018-05-25 23:14:00.000,2018-05-26 07:50:19.000,2018-05-25
,Dizzy Dropper,ATTR,2018-12-29 08:00:00.000,2018-12-29 21:26:00.000,2018-12-30 07:29:36.000,2018-12-29
,Scooby Doo,ATTR,2018-09-07 08:30:00.000,2018-09-08 00:23:00.000,2018-09-08 08:23:15.000,2018-09-07
,Roller Coaster,ATTR,2019-04-13 10:00:00.000,2019-04-13 19:19:00.000,2019-04-14 08:51:22.000,2019-04-13
,PortAventura World,PARK,2018-03-18 08:30:00.000,2018-03-18 09:30:00.000,2018-03-19 09:06:33.000,2018-03-18
,Giant Wheel,ATTR,2018-02-01 09:29:00.000,2018-02-01 19:00:00.000,2018-02-02 08:13:50.000,2018-02-01
,Crazy Bus,ATTR,2018-02-02 08:56:00.000,2018-02-02 21:33:00.000,2018-02-03 08:50:22.000,2018-02-02
,Scooby Doo,ATTR,2022-05-03 08:29:00.000,2022-05-03 20:17:00.000,2022-05-04 08:06:54.000,2022-05-03
,Top Spin,ATTR,2018-12-17 10:45:00.000,2018-12-17 17:35:00.000,2018-12-18 07:41:00.000,2018-12-17
,Log Flume,ATTR,2018-04-28 08:30:00.000,2018-04-28 22:07:00.000,2018-04-29 08:22:49.000,2018-04-28
,Himalaya Ride,ATTR,2019-04-09 08:31:00.000,2019-04-09 22:06:00.000,2019-04-10 07:50:45.000,2019-04-09
,Spinning Coaster,ATTR,2022-05-06 09:23:00.000,2022-05-06 23:18:00.000,2022-05-07 07:53:18.000,2022-05-06
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-06-23 23:59:00.000,2018-06-23 23:59:00.000,2018-06-24 07:36:13.000,2018-06-23
Fermeture Réhab,Superman Ride,ATTR,2020-01-25 23:59:00.000,2020-01-25 23:59:00.000,2020-01-26 07:58:25.000,2020-01-25
,Go-Karts,ATTR,2018-08-29 08:30:00.000,2018-08-29 23:13:00.000,2018-08-30 08:06:43.000,2018-08-29
,Himalaya Ride,ATTR,2018-04-25 09:52:00.000,2018-04-25 22:00:00.000,2018-04-26 08:19:57.000,2018-04-25
,Spinning Coaster,ATTR,2018-11-18 07:58:00.000,2018-11-18 21:16:00.000,2018-11-19 08:08:00.000,2018-11-18
,Giga Coaster,ATTR,2018-01-23 09:47:00.000,2018-01-23 18:17:00.000,2018-01-24 07:44:02.000,2018-01-23
,Kiddie Coaster,ATTR,2022-06-29 10:14:00.000,2022-06-29 21:09:00.000,2022-06-30 08:02:00.000,2022-06-29
,PortAventura World,PARK,2022-04-23 09:30:00.000,2022-04-23 23:00:00.000,2022-04-24 09:16:10.000,2022-04-23
,Dizzy Dropper,ATTR,2019-03-18 08:30:00.000,2019-03-18 19:14:00.000,2019-03-19 07:46:24.000,2019-03-18
Fermeture Réhab,Inverted Coaster,ATTR,2019-11-12 23:59:00.000,2019-11-12 23:59:00.000,2019-11-13 07:39:34.000,2019-11-12
,Roller Coaster,ATTR,2022-04-09 10:00:00.000,2022-04-09 17:10:00.000,2022-04-10 08:12:27.000,2022-04-09
,Giant Wheel,ATTR,2022-07-09 08:30:00.000,2022-07-09 23:11:00.000,2022-07-10 07:45:45.000,2022-07-09
,Crazy Bus,ATTR,2018-01-02 09:06:00.000,2018-01-02 18:30:00.000,2018-01-03 09:38:08.000,2018-01-02
,Skyway,ATTR,2022-07-15 08:30:00.000,2022-07-15 20:07:00.000,2022-07-16 08:11:03.000,2022-07-15
,Swing Ride,ATTR,2020-02-04 08:30:00.000,2020-02-04 18:16:00.000,2020-02-05 07:46:16.000,2020-02-04
,Roller Coaster,ATTR,2019-04-25 10:00:00.000,2019-04-25 19:33:00.000,2019-04-26 08:40:49.000,2019-04-25
,Superman Ride,ATTR,2019-09-01 08:25:00.000,2019-09-01 19:48:00.000,2019-09-02 07:35:37.000,2019-09-01
Fermeture Réhab,Pirate Ship,ATTR,2019-12-09 23:59:00.000,2019-12-09 23:59:00.000,2019-12-10 07:45:15.000,2019-12-09
,Water Ride,ATTR,2019-10-15 10:00:00.000,2019-10-15 19:22:00.000,2019-10-16 07:48:26.000,2019-10-15
,Merry Go Round,ATTR,2019-07-27 09:32:00.000,2019-07-27 23:10:00.000,2019-07-28 08:08:35.000,2019-07-27
,PortAventura World,PARK,2019-03-29 08:30:00.000,2019-03-29 09:30:00.000,2019-03-30 07:46:10.000,2019-03-29
Fermeture Réhab,Superman Ride,ATTR,2018-06-18 23:59:00.000,2018-06-18 23:59:00.000,2018-06-19 08:10:30.000,2018-06-18
,PortAventura World,PARK,2018-01-05 09:00:00.000,2018-01-05 22:00:00.000,2018-01-06 09:16:58.000,2018-01-05
,Spinning Coaster,ATTR,2019-04-19 08:28:00.000,2019-04-19 22:11:00.000,2019-04-20 07:43:05.000,2019-04-19
,Zipline,ATTR,2022-08-02 08:30:00.000,2022-08-02 23:09:00.000,2022-08-03 08:11:27.000,2022-08-02
,Inverted Coaster,ATTR,2018-07-27 10:00:00.000,2018-07-27 17:00:00.000,2018-07-28 08:32:49.000,2018-07-27
,Go-Karts,ATTR,2019-07-20 08:30:00.000,2019-07-20 23:07:00.000,2019-07-21 09:09:38.000,2019-07-20
,Go-Karts,ATTR,2022-07-07 08:28:00.000,2022-07-07 23:07:00.000,2022-07-08 07:53:16.000,2022-07-07
Fermeture Réhab,Top Spin,ATTR,2019-06-24 23:59:00.000,2019-06-24 23:59:00.000,2019-06-25 07:44:33.000,2019-06-24
,Crazy Dance,ATTR,2018-05-31 09:19:00.000,2018-05-31 23:07:00.000,2018-06-01 09:36:52.000,2018-05-31
,Free Fall,ATTR,2018-04-22 10:00:00.000,2018-04-22 20:03:00.000,2018-04-23 07:45:30.000,2018-04-22
,Drop Tower,ATTR,2019-02-26 08:30:00.000,2019-02-26 18:55:00.000,2019-02-27 08:17:42.000,2019-02-26
,Circus Train,ATTR,2022-04-28 09:18:00.000,2022-04-28 21:23:00.000,2022-04-29 07:56:19.000,2022-04-28
,Log Flume,ATTR,2019-01-24 08:30:00.000,2019-01-24 18:30:00.000,2019-01-25 07:58:11.000,2019-01-24
,Power Tower,ATTR,2019-09-24 09:10:00.000,2019-09-24 18:08:00.000,2019-09-25 07:41:40.000,2019-09-24
,Top Spin,ATTR,2018-06-10 10:45:00.000,2018-06-10 17:35:00.000,2018-06-11 08:05:49.000,2018-06-10
,Rapids Ride,ATTR,2019-01-02 09:00:00.000,2019-01-02 17:21:00.000,2019-01-03 08:44:40.000,2019-01-02
,Kiddie Coaster,ATTR,2019-12-01 10:00:00.000,2019-12-01 17:19:00.000,2019-12-02 07:43:00.000,2019-12-01
,Rapids Ride,ATTR,2018-06-10 09:32:00.000,2018-06-10 20:14:00.000,2018-06-11 08:04:54.000,2018-06-10
,Tivoli Gardens,PARK,2019-06-11 08:30:00.000,2019-06-11 09:30:00.000,2019-06-12 07:48:08.000,2019-06-11
,Oz Theatre,ATTR,2019-03-16 10:00:00.000,2019-03-16 18:34:00.000,2019-03-17 07:47:00.000,2019-03-16
,Circus Train,ATTR,2020-01-06 10:00:00.000,2020-01-06 17:26:00.000,2020-01-07 07:56:16.000,2020-01-06
,Bungee Jump,ATTR,2022-04-01 09:30:00.000,2022-04-01 21:01:00.000,2022-04-02 08:01:13.000,2022-04-01
,Tivoli Gardens,PARK,2019-04-20 10:00:00.000,2019-04-20 20:00:00.000,2019-04-21 07:55:32.000,2019-04-20
,Reverse Bungee,ATTR,2019-07-21 09:24:00.000,2019-07-21 20:19:00.000,2019-07-22 07:44:40.000,2019-07-21
,Skyway,ATTR,2018-07-09 09:52:00.000,2018-07-09 20:14:00.000,2018-07-10 08:23:40.000,2018-07-09
,Water Ride,ATTR,2019-03-05 10:00:00.000,2019-03-05 18:43:00.000,2019-03-06 07:41:37.000,2019-03-05
,Dizzy Dropper,ATTR,2019-01-06 08:00:00.000,2019-01-06 20:13:00.000,2019-01-07 07:36:26.000,2019-01-06
,Rapids Ride,ATTR,2019-11-12 09:36:00.000,2019-11-12 17:07:00.000,2019-11-13 07:39:31.000,2019-11-12
,Skyway,ATTR,2018-08-30 10:00:00.000,2018-08-30 20:25:00.000,2018-08-31 08:29:28.000,2018-08-30
,Top Spin,ATTR,2018-10-04 10:45:00.000,2018-10-04 17:35:00.000,2018-10-05 07:43:36.000,2018-10-04
,Swing Ride,ATTR,2018-05-12 08:30:00.000,2018-05-12 21:43:00.000,2018-05-13 07:41:17.000,2018-05-12
,Bumper Cars,ATTR,2022-08-15 09:27:00.000,2022-08-15 22:17:00.000,2022-08-16 07:23:33.000,2022-08-15
,PortAventura World,PARK,2022-07-30 08:30:00.000,2022-07-30 09:30:00.000,2022-07-31 07:48:15.000,2022-07-30
,Top Spin,ATTR,2018-03-15 10:00:00.000,2018-03-15 19:00:00.000,2018-03-16 08:01:40.000,2018-03-15
,Free Fall,ATTR,2019-08-29 10:00:00.000,2019-08-29 20:21:00.000,2019-08-30 07:48:41.000,2019-08-29
,Giga Coaster,ATTR,2018-01-26 09:30:00.000,2018-01-26 18:00:00.000,2018-01-27 08:54:18.000,2018-01-26
,Tivoli Gardens,PARK,2018-05-30 08:30:00.000,2018-05-30 09:30:00.000,2019-09-30 16:39:43.000,2018-05-30
,Swing Ride,ATTR,2020-01-17 08:27:00.000,2020-01-17 18:34:00.000,2020-01-18 07:38:20.000,2020-01-17
,Drop Tower,ATTR,2018-12-22 08:00:00.000,2018-12-22 21:26:00.000,2018-12-23 07:53:43.000,2018-12-22
,Roller Coaster,ATTR,2022-04-04 10:00:00.000,2022-04-04 17:11:00.000,2022-04-05 08:49:06.000,2022-04-04
,Power Tower,ATTR,2018-12-27 07:45:00.000,2018-12-27 20:08:00.000,2018-12-28 07:35:42.000,2018-12-27
,Bungee Jump,ATTR,2019-04-14 09:48:00.000,2019-04-14 22:03:00.000,2019-04-15 07:42:04.000,2019-04-14
,PortAventura World,PARK,2022-06-12 09:30:00.000,2022-06-12 23:00:00.000,2022-06-13 12:05:34.000,2022-06-12
Fermeture Réhab,Merry Go Round,ATTR,2019-04-14 23:59:00.000,2019-04-14 23:59:00.000,2019-04-15 07:42:11.000,2019-04-14
Fermeture Réhab,Himalaya Ride,ATTR,2022-04-12 23:59:00.000,2022-04-12 23:59:00.000,2022-04-13 08:20:16.000,2022-04-12
,Tivoli Gardens,PARK,2018-03-11 08:30:00.000,2018-03-11 09:30:00.000,2018-03-12 07:48:54.000,2018-03-11
,Water Ride,ATTR,2018-07-26 10:00:00.000,2018-07-26 22:08:00.000,2018-07-27 08:19:58.000,2018-07-26
,Swing Ride,ATTR,2018-12-25 08:00:00.000,2018-12-25 21:22:00.000,2018-12-26 07:53:22.000,2018-12-25
Fermeture Réhab,Merry Go Round,ATTR,2018-12-26 23:59:00.000,2018-12-26 23:59:00.000,2018-12-27 07:34:44.000,2018-12-26
,Monorail,ATTR,2019-06-15 08:30:00.000,2019-06-16 01:41:00.000,2019-06-16 08:19:32.000,2019-06-15
,Reverse Bungee,ATTR,2019-02-05 08:26:00.000,2019-02-05 19:04:00.000,2019-02-06 08:37:14.000,2019-02-05
,Flying Coaster,ATTR,2022-06-28 09:30:00.000,2022-06-28 23:12:00.000,2022-06-29 07:55:34.000,2022-06-28
,PortAventura World,PARK,2022-06-24 08:30:00.000,2022-06-24 09:30:00.000,2022-06-25 08:04:34.000,2022-06-24
,Skyway,ATTR,2019-09-22 08:35:00.000,2019-09-22 21:05:00.000,2019-09-23 07:39:50.000,2019-09-22
,Tivoli Gardens,PARK,2018-06-14 08:30:00.000,2018-06-14 09:30:00.000,2018-06-15 08:46:00.000,2018-06-14
,Monorail,ATTR,2019-02-09 08:24:00.000,2019-02-10 00:30:00.000,2019-02-10 07:44:06.000,2019-02-09
,Bungee Jump,ATTR,2022-04-06 09:23:00.000,2022-04-06 23:01:00.000,2022-04-07 08:11:31.000,2022-04-06
